Year,Elevation m,Body condition Index,eggs detected
2014,3,2,0.0
2014,1,2,0.0
2014,1,1,0.0
2014,2,1,0.0
2014,1,2,0.0
2014,2,2,0.0
2014,1,1,0.0
2014,0,1,0.0
2014,1,1,0.0
2014,1,2,0.0
2015,1,1,0.0
2014,0,1,0.0
2015,0,0,0.0
2013,0,2,0.0
2015,0,2,1.0
2014,1,1,1.0
2015,1,1,1.0
2013,3,1,0.0
2015,0,1,1.0
2013,1,2,1.0
2014,1,1,0.0
2015,1,1,0.0
2015,0,2,0.0
2014,1,1,0.0
2014,0,1,1.0
2015,0,1,1.0
2015,0,2,0.0
2014,1,1,0.0
2015,1,2,1.0
2013,0,1,0.0
2013,1,1,1.0
2014,1,2,1.0
2015,1,2,0.0
2014,0,2,0.0
2014,1,3,0.0
2014,1,1,1.0
2015,1,1,0.0
2014,0,2,0.0
2015,0,1,1.0
2014,0,1,1.0
2014,2,1,0.0
2015,1,2,0.0
2015,0,2,1.0
2015,0,2,1.0
2013,0,1,1.0
2014,0,1,1.0
2014,0,2,1.0
2013,0,2,1.0
2014,1,1,0.0
2013,0,2,0.0
2013,0,1,0.0
2013,0,1,1.0
2015,1,3,1.0
2015,1,2,1.0
2015,1,2,0.0
2015,1,2,1.0
2015,1,1,0.0
2015,1,2,0.0
2015,0,1,0.0
2015,0,1,1.0
2013,0,2,1.0
2015,0,1,1.0
2015,0,1,0.0
2015,0,2,1.0
2015,0,1,1.0
2015,1,2,0.0
2015,0,1,1.0
2013,1,2,0.0
2013,0,1,1.0
2013,0,2,1.0
2013,2,3,0.0
2013,0,0,0.0
2013,1,2,0.0
2013,1,3,0.0
2014,0,1,1.0
2014,1,1,0.0
2014,0,0,0.0
2014,0,1,0.0
2014,0,2,1.0
2014,0,1,0.0
2014,0,4,1.0
2014,0,1,0.0
2014,0,1,1.0
2014,1,2,1.0
2013,0,2,0.0
2014,0,1,1.0
2014,0,2,0.0
2014,0,1,0.0
2014,0,1,1.0
2014,1,2,0.0
2014,0,2,1.0
2014,0,1,0.0
2014,0,1,0.0
2014,0,2,0.0
2013,0,2,0.0
2014,0,1,0.0
2014,0,1,1.0
2014,1,2,0.0
2014,0,0,0.0
2014,0,2,1.0
2014,0,0,0.0
2013,0,2,1.0
2014,0,1,1.0
2015,1,2,0.0
2013,0,1,1.0
2014,0,1,1.0
2013,0,1,0.0
2015,0,1,0.0
2013,0,1,0.0
2014,0,1,1.0
2015,0,1,1.0
2013,1,4,0.0
2015,1,1,0.0
2014,1,2,0.0
2014,0,1,0.0
2014,1,1,0.0
2014,1,1,0.0
2014,2,2,0.0
2014,2,2,0.0
2014,1,1,0.0
2014,1,1,0.0
2014,1,3,0.0
2014,1,1,0.0
2014,0,2,0.0
2014,1,1,0.0
2014,0,1,0.0
2014,2,1,0.0
2014,2,0,0.0
2014,3,1,0.0
2014,2,2,0.0
2014,2,2,0.0
2014,3,1,0.0
2014,2,2,0.0
2014,1,1,0.0
2013,0,1,0.0
2014,1,2,0.0
2014,1,2,0.0
2014,2,1,0.0
2014,3,2,0.0
2013,1,2,0.0
2014,1,2,0.0
2014,3,2,0.0
2013,3,2,0.0
2015,3,2,0.0
2013,2,1,0.0
2013,3,2,0.0
2013,1,1,0.0
2015,1,1,0.0
2013,3,2,0.0
2015,2,1,0.0
2013,2,2,0.0
2015,2,2,0.0
2013,2,2,0.0
2013,1,2,0.0
2015,1,1,0.0
2013,3,2,0.0
2015,3,1,0.0
2015,1,1,0.0
2015,1,1,0.0
2013,1,1,0.0
2015,1,1,0.0
2015,3,2,0.0
2015,2,2,0.0
2014,3,2,0.0
2014,3,1,0.0
2013,1,1,0.0
2013,2,1,0.0
2014,3,1,0.0
2015,0,1,0.0
2015,2,1,0.0
2013,1,2,0.0
2013,2,2,0.0
2014,0,1,0.0
2015,2,2,1.0
2014,2,2,0.0
2013,2,2,0.0
2013,3,1,0.0
2015,1,1,0.0
2015,1,1,0.0
2015,3,1,0.0
2013,2,2,0.0
2014,2,0,0.0
2014,0,1,0.0
2014,0,0,0.0
2014,0,1,0.0
2014,1,0,0.0
2014,3,1,0.0
2014,3,1,0.0
2014,3,1,0.0
2014,2,1,0.0
2014,2,1,0.0
2013,3,1,0.0
2015,3,2,0.0
2015,3,1,0.0
2015,2,1,0.0
2015,0,1,0.0
2013,2,1,0.0
2013,2,2,0.0
2013,1,1,0.0
2013,1,0,0.0
2013,1,0,0.0
2013,1,3,0.0
2013,1,2,0.0
2013,2,2,0.0
2013,1,0,0.0
2013,1,0,0.0
2013,3,2,0.0
2013,3,2,0.0
2013,3,1,0.0
2013,3,1,0.0
2013,1,1,0.0
2015,1,3,0.0
2013,1,1,0.0
2015,0,1,0.0
2015,2,1,0.0
